Id,When,DataType,NAICS,ServiceDetail,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,ModifiedDate
41882,1/1/2000 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,149302000,184082000,1090006000,35466000,17845000,7271000,17596000,397165000,3277000,247666000,26157000,9/23/2021 8:59:32 AM
41883,1/1/2000 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,108734000,148285000,947463000,34008000,27408000,18297000,32311000,402309000,5482000,135372000,32787000,9/23/2021 8:59:32 AM
41884,1/1/2000 12:00:00 AM,Unadjusted,Special food services,Receipts,17132000,36839000,193863000,3090000,5313000,2145000,5646000,72682000,336000,48093000,2587000,9/23/2021 8:59:32 AM
41885,1/1/2000 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,328145000,492174000,2889977000,91923000,67101000,37506000,79807000,1117732000,16355000,574570000,76597000,9/23/2021 8:59:32 AM
41886,2/1/2000 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,24361000,59198000,215435000,1868000,4017000,3579000,6071000,58425000,1867000,52374000,3675000,9/23/2021 8:59:32 AM
41887,2/1/2000 12:00:00 AM,Unadjusted,Full-service restaurants,Receipts,145947000,189319000,1099650000,36679000,18201000,6064000,21453000,396975000,3562000,250205000,26348000,9/23/2021 8:59:32 AM
41888,2/1/2000 12:00:00 AM,Unadjusted,Limited-service eating places,Receipts,117174000,149853000,998454000,37208000,31599000,18594000,36871000,427522000,6083000,140472000,30397000,9/23/2021 8:59:32 AM
41889,2/1/2000 12:00:00 AM,Unadjusted,Special food services,Receipts,19272000,31982000,198929000,4827000,4910000,1946000,5594000,73662000,446000,53475000,2815000,9/23/2021 8:59:32 AM
41890,2/1/2000 12:00:00 AM,Seasonally adjusted,"Total, food services and drinking places",Receipts,329747000,491310000,2890486000,92018000,68090000,37990000,80648000,1114065000,16558000,575775000,75900000,9/23/2021 8:59:32 AM
41891,3/1/2000 12:00:00 AM,Unadjusted,Drinking places (alcoholic beverages),Receipts,21279000,70997000,237215000,2299000,4161000,6015000,5504000,65149000,1679000,53260000,6870000,9/23/2021 8:59:32 AM
