ID,When,Type,Alberta,ModifiedDate
97728,11-01-2012 12:00:00 AM,Non-Conventional Oil,8820338.2,09-30-2021 11:18:17 AM
97729,12-01-2012 12:00:00 AM,Conventional Oil,2951518.5,09-30-2021 11:18:17 AM
97730,12-01-2012 12:00:00 AM,Non-Conventional Oil,9902794.6,09-30-2021 11:18:17 AM
97731,12-01-2012 12:00:00 AM,Natural Gas,8410643500,09-30-2021 11:18:17 AM
97732,01-01-2013 12:00:00 AM,Conventional Oil,2915192,09-30-2021 11:18:17 AM
97733,01-01-2013 12:00:00 AM,Natural Gas,8740099100,09-30-2021 11:18:17 AM
97734,01-01-2013 12:00:00 AM,Non-Conventional Oil,9550096,09-30-2021 11:18:17 AM
97735,02-01-2013 12:00:00 AM,Conventional Oil,2715962.5,09-30-2021 11:18:17 AM
97736,02-01-2013 12:00:00 AM,Non-Conventional Oil,8597166.4,09-30-2021 11:18:17 AM
97737,02-01-2013 12:00:00 AM,Natural Gas,7962578700,09-30-2021 11:18:17 AM
97738,03-01-2013 12:00:00 AM,Non-Conventional Oil,9670964.1,09-30-2021 11:18:17 AM
97739,03-01-2013 12:00:00 AM,Conventional Oil,3020869.1,09-30-2021 11:18:17 AM
97740,03-01-2013 12:00:00 AM,Natural Gas,8526284300,09-30-2021 11:18:17 AM
97741,04-01-2013 12:00:00 AM,Conventional Oil,2922439.8,09-30-2021 11:18:17 AM
97742,04-01-2013 12:00:00 AM,Non-Conventional Oil,8664912.2,09-30-2021 11:18:17 AM
97743,04-01-2013 12:00:00 AM,Natural Gas,8364788000,09-30-2021 11:18:17 AM
97744,05-01-2013 12:00:00 AM,Natural Gas,8526197000,09-30-2021 11:18:17 AM
97745,05-01-2013 12:00:00 AM,Conventional Oil,2955266.7,09-30-2021 11:18:17 AM
97746,05-01-2013 12:00:00 AM,Non-Conventional Oil,7983656.4,09-30-2021 11:18:17 AM
97747,06-01-2013 12:00:00 AM,Natural Gas,8083923000,09-30-2021 11:18:17 AM
97748,06-01-2013 12:00:00 AM,Non-Conventional Oil,8635533.2,09-30-2021 11:18:17 AM
97749,06-01-2013 12:00:00 AM,Conventional Oil,2790362.2,09-30-2021 11:18:17 AM
97750,07-01-2013 12:00:00 AM,Non-Conventional Oil,9463548.1,09-30-2021 11:18:17 AM
97751,07-01-2013 12:00:00 AM,Conventional Oil,2866765.6,09-30-2021 11:18:17 AM
97752,07-01-2013 12:00:00 AM,Natural Gas,8421280600,09-30-2021 11:18:17 AM
97753,08-01-2013 12:00:00 AM,Non-Conventional Oil,10341161.7,09-30-2021 11:18:17 AM
97754,08-01-2013 12:00:00 AM,Natural Gas,8435552800,09-30-2021 11:18:17 AM
97755,08-01-2013 12:00:00 AM,Conventional Oil,2904370.2,09-30-2021 11:18:17 AM
97756,09-01-2013 12:00:00 AM,Conventional Oil,2790922.6,09-30-2021 11:18:17 AM
97757,09-01-2013 12:00:00 AM,Non-Conventional Oil,9431723.4,09-30-2021 11:18:17 AM
97758,09-01-2013 12:00:00 AM,Natural Gas,7980098100,09-30-2021 11:18:17 AM
97759,10-01-2013 12:00:00 AM,Non-Conventional Oil,9978262.6,09-30-2021 11:18:17 AM
97760,10-01-2013 12:00:00 AM,Conventional Oil,2944608.3,09-30-2021 11:18:17 AM
97761,10-01-2013 12:00:00 AM,Natural Gas,8453306300,09-30-2021 11:18:17 AM
97762,11-01-2013 12:00:00 AM,Natural Gas,8178584100,09-30-2021 11:18:17 AM
97763,11-01-2013 12:00:00 AM,Non-Conventional Oil,10082113.1,09-30-2021 11:18:17 AM
97764,11-01-2013 12:00:00 AM,Conventional Oil,2876720.9,09-30-2021 11:18:17 AM
97765,12-01-2013 12:00:00 AM,Non-Conventional Oil,10607783.3,09-30-2021 11:18:17 AM
97766,12-01-2013 12:00:00 AM,Conventional Oil,3013396.9,09-30-2021 11:18:17 AM
97767,12-01-2013 12:00:00 AM,Natural Gas,8461676700,09-30-2021 11:18:17 AM
97768,01-01-2014 12:00:00 AM,Non-Conventional Oil,10446214.4,09-30-2021 11:18:17 AM
97769,01-01-2014 12:00:00 AM,Natural Gas,8572787800,09-30-2021 11:18:17 AM
97770,01-01-2014 12:00:00 AM,Conventional Oil,2994975.3,09-30-2021 11:18:17 AM
97771,02-01-2014 12:00:00 AM,Natural Gas,7660218400,09-30-2021 11:18:17 AM
97772,02-01-2014 12:00:00 AM,Non-Conventional Oil,9331343.8,09-30-2021 11:18:17 AM
97773,02-01-2014 12:00:00 AM,Conventional Oil,2727232.9,09-30-2021 11:18:17 AM
97774,03-01-2014 12:00:00 AM,Natural Gas,8588898900,09-30-2021 11:18:17 AM
97775,03-01-2014 12:00:00 AM,Non-Conventional Oil,10693056.1,09-30-2021 11:18:17 AM
97776,03-01-2014 12:00:00 AM,Conventional Oil,3112810.9,09-30-2021 11:18:17 AM
97777,04-01-2014 12:00:00 AM,Conventional Oil,3029087.6,09-30-2021 11:18:17 AM
97778,04-01-2014 12:00:00 AM,Non-Conventional Oil,9891522.6,09-30-2021 11:18:17 AM
97779,04-01-2014 12:00:00 AM,Natural Gas,8512610886,09-30-2021 11:18:17 AM
97780,05-01-2014 12:00:00 AM,Non-Conventional Oil,9961027.9,09-30-2021 11:18:17 AM
97781,05-01-2014 12:00:00 AM,Natural Gas,8545923100,09-30-2021 11:18:17 AM
97782,05-01-2014 12:00:00 AM,Conventional Oil,3001481.2,09-30-2021 11:18:17 AM
97783,06-01-2014 12:00:00 AM,Natural Gas,8047224700,09-30-2021 11:18:17 AM
97784,06-01-2014 12:00:00 AM,Conventional Oil,2877738.5,09-30-2021 11:18:17 AM
97785,06-01-2014 12:00:00 AM,Non-Conventional Oil,10180281.5,09-30-2021 11:18:17 AM
97786,07-01-2014 12:00:00 AM,Natural Gas,8692806300,09-30-2021 11:18:17 AM
97787,07-01-2014 12:00:00 AM,Conventional Oil,2977729.8,09-30-2021 11:18:17 AM
97788,07-01-2014 12:00:00 AM,Non-Conventional Oil,10735825.9,09-30-2021 11:18:17 AM
97789,08-01-2014 12:00:00 AM,Conventional Oil,3017995.3,09-30-2021 11:18:17 AM
97790,08-01-2014 12:00:00 AM,Non-Conventional Oil,10745034.3,09-30-2021 11:18:17 AM
97791,08-01-2014 12:00:00 AM,Natural Gas,8776658000,09-30-2021 11:18:17 AM
97792,09-01-2014 12:00:00 AM,Conventional Oil,2880356.2,09-30-2021 11:18:17 AM
97793,09-01-2014 12:00:00 AM,Non-Conventional Oil,10366186.3,09-30-2021 11:18:17 AM
97794,09-01-2014 12:00:00 AM,Natural Gas,8184310800,09-30-2021 11:18:17 AM
97795,10-01-2014 12:00:00 AM,Conventional Oil,3024697.1,09-30-2021 11:18:17 AM
97796,10-01-2014 12:00:00 AM,Natural Gas,9000472000,09-30-2021 11:18:17 AM
97797,10-01-2014 12:00:00 AM,Non-Conventional Oil,11343763.9,09-30-2021 11:18:17 AM
